STITCH,Individual Side Effect,Side Effect Name
CID003062316,C0151602,Swelling face
CID003062316,C0497365,rash generalised
CID003062316,C0151601,Conjunctival oedema
CID003062316,C1535950,gastrointestinal inflammation
CID003062316,C0542571,Face oedema
CID003062316,C0241266,subcutaneous abscess
CID003062316,C0883409,troponin i
CID003062316,C0237938,gastrointestinal ulcer
CID003062316,C0349506,Photosensitivity reaction
CID003062316,C0553692,Cerebral haemorrhage
CID003062316,C0042421,vasectomy
CID003062316,C1096444,altered visual depth perception
CID003062316,C2979982,Vaginal haemorrhage
CID003062316,C0948089,acute coronary syndrome
CID003062316,C0743680,eye oedema
CID003062316,C1142474,metastatic neoplasm
CID003062316,C0239729,genital rash
CID003062316,C0948087,haematoma infection
CID003062316,C0085612,Ventricular arrhythmia
CID003062316,C0549297,auricular swelling
CID003062316,C1262063,platelet function test abnormal
CID003062316,C0855333,electrocardiogram qt corrected interval prolonged
CID003062316,C0013609,localised oedema
CID003062316,C0340574,femoral arterial stenosis
CID003062316,C0009450,Infection
CID003062316,C0021053,Immune system disorder
CID003062316,C0853649,full blood count decreased
CID003062316,C0221203,Rash vesicular
CID003062316,C0266998,oral soft tissue disorder
CID003062316,C0013378,dysgeusia
CID003062316,C0151740,csf pressure increased
CID003062316,C1142115,enterocolitis infectious
CID003062316,C0400823,neutropenic colitis
CID003062316,C0542007,Cerebral haematoma
CID003062316,C1535939,pneumocystis jiroveci pneumonia
CID003062316,C1522378,large granular lymphocytosis
CID003062316,C2937358,Cerebral haemorrhage
CID003062316,C0854629,allogenic bone marrow transplantation therapy
CID003062316,C0015397,disorder of globe
CID003062316,C0204324,dental operation
CID003062316,C0851664,Bullous conditions
CID003062316,C0017612,open angle glaucoma
CID003062316,C0541923,Lip oedema
CID003062316,C0185240,bone lesion
CID003062316,C1112320,temperature intolerance
CID003062316,C0333243,Oedema
CID003062316,C0267792,hepatobiliary disease
CID003062316,C0234913,Rash erythematous
CID003062316,C0156238,renal cortical necrosis
CID003062316,C0424813,orbital oedema
CID003062316,C0151905,alanine aminotransferase increased
CID003062316,C0040053,Thrombosis
CID003062316,C0027765,Nervous system disorder
CID003062316,C0948014,red cell distribution width increased
CID003062316,C0007760,cerebellar syndrome
CID003062316,C0859667,personality change
CID003062316,C0520803,overdose
CID003062316,C0268000,Fluid retention
CID003062316,C0746883,febrile neutropenia
CID003062316,C0085641,Rash pustular
CID003062316,C0085642,livedo reticularis
CID003062316,C0041364,tumour lysis syndrome
CID003062316,C0234934,Urticaria vesiculosa
CID003062316,C1258215,Ileus
CID003062316,C0236065,oedema mouth
CID003062316,C0877318,medical device implantation
CID003062316,C0476280,musculoskeletal chest pain
CID003062316,C3665347,Visual impairment
CID003062316,C0156308,penile oedema
CID003062316,C0341402,rectal perforation
CID003062316,C0271412,ear haemorrhage
CID003062316,C0011071,sudden death
CID003062316,C0851353,Blood and lymphatic system disorders
CID003062316,C0948048,malignant neoplasm progression
CID003062316,C0851354,Ear and labyrinth disorders
CID003062316,C0919980,viith nerve paralysis
CID003062316,C1262102,blast cell count increased
CID003062316,C0153467,malignant peritoneal neoplasm
CID003062316,C0852802,intestinal obstruction
CID003062316,C1608945,exfoliative rash
CID003062316,C0849925,Ventricular failure
CID003062316,C0023473,Chronic myeloid leukaemia
CID003062316,C0264695,subendocardial ischaemia
CID003062316,C0000734,abdominal mass
CID003062316,C0178298,Skin disorder
CID003062316,C0151644,fibrin increased
CID003062316,C0023212,Pulmonary oedema
CID003062316,C1167760,bacterial test positive
CID003062316,C0151313,peripheral sensory neuropathy
CID003062316,C0547030,Visual impairment
CID003062316,C0281982,skin swelling
CID003062316,C0010828,Pancytopenia
CID003062316,C0853034,blood creatine phosphokinase increased
CID003062316,C0521471,Systemic lupus erythematosus rash
CID003062316,C0162285,Eyelid oedema
CID003062316,C0162287,abnormal faeces
CID003062316,C0234916,Rash follicular
CID003062316,C1262036,ocular toxicity
CID003062316,C3160858,Posterior reversible encephalopathy syndrome
CID003062316,C0473120,abdominal haematoma
CID003062316,C0748536,scleral haemorrhage
CID003062316,C0302858,protein-losing gastroenteropathy
CID003062316,C0206277,Fatal outcomes
CID000003117,C0015371,extrapyramidal disorder
CID000003117,C0949040,sinus disorder
CID000003117,C0856054,mental status changes
CID000003117,C0231926,respiratory gas exchange disorder
CID000003117,C1608969,ammonia increased
CID000003117,C0855395,coagulation factor ix level decreased
CID000003117,C0175167,Dermatitis acneiform
CID000003117,C0522178,self-injurious ideation
CID000003117,C0426597,fluid intake reduced
CID000003117,C1806780,csf protein increased
CID000003117,C0043121,wernicke's encephalopathy
CID000003117,C0234146,areflexia
CID000003117,C0234233,Tenderness
CID000003117,C0403592,chronic allograft nephropathy
CID000003117,C0521591,paraesthesia oral
CID000003117,C0302809,hepatitis fulminant
CID000003117,C0476434,sputum culture positive
CID000003117,C0549395,blood urea decreased
CID000003117,C1112256,peripheral sensorimotor neuropathy
CID000003117,C0231230,Fatigue
CID000003117,C0192863,colectomy
CID000003117,C0233718,pressure of speech
CID000003117,C0520966,coordination abnormal
CID000003117,C1869048,ageusia
CID000003117,C0553732,prothrombin level decreased
CID000003117,C1096730,staphylococcal infection
CID000003117,C0028643,Hypoaesthesia
CID000003117,C1869046,neuroleptic malignant syndrome
CID000003117,C0234458,abnormal dreams
CID000003117,C0376405,treatment noncompliance
CID000003117,C1535881,oral intake reduced
CID000003117,C0853777,blood albumin decreased
CID000003117,C0852990,blood thromboplastin
CID000003117,C0476320,red blood cell morphology
CID000003117,C0600104,compulsions
CID000003117,C0521849,drug interaction
CID000003117,C1696153,pitting oedema
CID000003117,C0236663,alcohol withdrawal syndrome
CID000003117,C0032541,Polyneuropathy
CID000003117,C0085623,akinesia
CID000003117,C1869039,dysthymic disorder
CID000003117,C0520600,cardio-respiratory arrest
CID000003117,C0542313,sleep talking
CID000003117,C0038587,withdrawal syndrome
CID000003117,C0520887,electrocardiogram st segment depression
CID000003117,C0002957,anger
CID000003117,C0156439,metabolic disorder
CID000003117,C0233471,flat affect
CID000003117,C0877269,oedema due to hepatic disease
CID000003117,C0520587,vulvovaginal discomfort
CID000003117,C0013240,alveolar osteitis
CID000003117,C0239295,oesophageal candidiasis
CID000003117,C0347623,open wound
CID000003117,C0408591,intervertebral disc operation
CID000003117,C0686619,metastases to lymph nodes
CID000003117,C0024887,mastectomy
CID000003117,C0267827,hepatitis acute
CID000003117,C0542525,tongue injury
CID000003117,C0302295,Rash
CID000003117,C1704204,pedal pulse absent
CID000003117,C0151474,alcohol intolerance
CID000003117,C0852733,completed suicide
CID000003117,C0185216,sequestrectomy
CID000003117,C1869070,disturbance in attention
CID000003117,C0036600,self-medication
CID000003117,C0036601,self mutilation
CID000003117,C0869219,speech disorder
CID000003117,C0852810,blood creatinine decreased
CID000003117,C0877025,prothrombin time prolonged
CID000003117,C0919873,prescribed overdose
CID000003117,C0919875,therapy non-responder
CID000003117,C0242350,Erectile dysfunction
CID000003117,C0263870,intervertebral disc space narrowing
CID000003117,C0521839,influenza like illness
CID000003117,C0919672,multi-organ failure
CID000003117,C0086588,marasmus
CID000003117,C0856977,aggression
CID000003117,C0948649,liver transplant
CID000003117,C1168019,blood alcohol increased
CID000003117,C0853089,intentional self-injury
CID000003117,C1869050,anticholinergic syndrome
CID000003117,C0151691,high density lipoprotein decreased
CID000003117,C0085076,breast reconstruction
CID000003117,C0855242,disturbance in sexual arousal
CID000003117,C0154472,alcoholism
CID000003117,C0221470,aphagia
CID000003117,C0853018,blood thyroid stimulating hormone
CID000003117,C0948322,radiotherapy
CID000003117,C0238729,axillary mass
CID000003117,C0020903,illusion
CID000003117,C0520803,overdose
CID000003117,C0854612,cardiotoxicity
CID000003117,C0852911,blood alkaline phosphatase increased
CID000003117,C0151667,globulins increased
CID000003117,C0151662,gamma-glutamyltransferase increased
CID000003117,C0038273,stereotypy
CID000003117,C0239333,clonus
CID000003117,C0015397,disorder of globe
CID000003117,C0155387,ill-defined disorder
CID000003117,C0860112,drug abuser
CID000003117,C2363825,lymphadenectomy
CID000003117,C0853206,alcohol interaction
CID000003117,C0876999,tumour marker increased
CID000003117,C0038435,Stress
CID000003117,C0856812,haemolysis
CID000003117,C0151905,alanine aminotransferase increased
CID000003117,C0027609,drug withdrawal syndrome neonatal
CID000003117,C2242996,Paraesthesia
CID000003117,C0162557,acute hepatic failure
CID000003117,C1504424,antipsychotic drug level increased
CID000003117,C1869096,amphetamines
CID000003117,C0747752,polysubstance abuse
CID000003117,C0392185,repetitive speech
CID000003117,C0425130,imprisonment
CID000003117,C0236062,haptoglobin decreased
CID000003117,C0277730,sexual assault victim
CID000003117,C0476280,musculoskeletal chest pain
CID000003117,C0877314,blood glucose fluctuation
CID000003117,C0233632,thinking abnormal
CID000003117,C0948594,musculoskeletal discomfort
CID000003117,C0520677,delusion
CID000003117,C0158889,foetal growth retardation
CID000003117,C0948048,malignant neoplasm progression
CID000003117,C0520775,cystitis klebsiella
CID000003117,C0549249,depressed level of consciousness
CID000003117,C0160390,hepatic trauma
CID000003117,C0195495,oophorectomy bilateral
CID000003117,C0241237,dysstasia
CID000003117,C0086525,Fatigue
CID000003117,C0684550,metastases to spine
CID000003117,C1696685,intentional drug misuse
CID000003117,C1964002,leukoencephalopathy
CID000003117,C0235309,Abdominal discomfort
CID000003117,C1328320,multiple drug overdose
CID000003117,C1168207,haemodialysis
CID000003117,C0877107,sinobronchitis
CID000003114,C0341697,renal impairment
CID000003114,C0035232,diaphragmatic paralysis
CID000003114,C0855476,blood lactate dehydrogenase decreased
CID000003114,C0162119,Haemoglobin decreased
CID000003114,C1142166,brugada syndrome
CID000003114,C2363856,stent embolisation
CID000003114,C0854029,blood creatine increased
CID000003114,C0341742,Urinary retention
CID000003114,C0541799,Dysgeusia
CID000003114,C0234238,Pain
CID000003114,C0860796,differential white blood cell count abnormal
CID000003114,C1262083,endoscopy gastrointestinal abnormal
CID000003114,C0302809,hepatitis fulminant
CID000003114,C1291077,Abdominal distension
CID000003114,C0036980,Cardiogenic shock
CID000003114,C1699631,lymphocyte count decreased
CID000003114,C0877213,implantable defibrillator insertion
CID000003114,C0855642,blood uric acid abnormal
CID000003114,C0852913,blood amylase increased
CID000003114,C0948436,gastrostomy tube insertion
CID000003114,C0028643,Hypoaesthesia
CID000003114,C1112386,cardiac ventricular disorder
CID000003114,C1535881,oral intake reduced
CID000003114,C0264714,cardiac failure acute
CID000003114,C1167940,lymphocyte stimulation test positive
CID000003114,C0521849,drug interaction
CID000003114,C0006110,brain death
CID000003114,C0029132,optic nerve disorder
CID000003114,C0340161,mediastinal haematoma
CID000003114,C0277885,blood pressure systolic decreased
CID000003114,C0277884,blood pressure systolic increased
CID000003114,C0409974,Systemic lupus erythematosus
CID000003114,C0150450,altered state of consciousness
CID000003114,C0155895,acute pulmonary oedema
CID000003114,C0030232,Pallor
CID000003114,C0149504,toxic encephalopathy
CID000003114,C0861113,chemotherapeutic drug level increased
CID000003114,C0239134,productive cough
CID000003114,C0235996,hepatic enzyme
CID000003114,C0007273,carotid artery disease
CID000003114,C0156439,metabolic disorder
CID000003114,C0853321,fungus urine test positive
CID000003114,C0042023,pollakiuria
CID000003114,C0853759,blood potassium
CID000003114,C0853692,blood triglycerides increased
CID000003114,C0037274,dermatosis
CID000003114,C1735340,extrasystoles
CID000003114,C0232493,Abdominal pain upper
CID000003114,C0001139,acinetobacter infection
CID000003114,C1699501,biliary tract infection
CID000003114,C0151578,Blood creatinine increased
CID000003114,C1740795,stress cardiomyopathy
CID000003114,C0347621,haemothorax
CID000003114,C0040479,Torsade de pointes
CID000003114,C0151878,electrocardiogram qt prolonged
CID000003114,C0011946,dialysis
CID000003114,C0877639,gingival blister
CID000003114,C0541782,Sinus arrest
CID000003114,C0264909,Defect conduction intraventricular
CID000003114,C0877248,adverse event
CID000003114,C0235475,electrocardiogram qrs complex prolonged
CID000003114,C1704204,pedal pulse absent
CID000003114,C0549386,Feeling hot
CID000003114,C0858635,pharyngolaryngeal pain
CID000003114,C1869051,torsade de pointes
CID000003114,C0853149,blood lactate dehydrogenase increased
CID000003114,C0153677,metastases to the mediastinum
CID000003114,C1720775,renal tubular necrosis
CID000003114,C0391996,hepatic atrophy
CID000003114,C1142152,heart valve calcification
CID000003114,C0267048,glossoptosis
CID000003114,C0869219,speech disorder
CID000003114,C0919873,prescribed overdose
CID000003114,C0242350,Erectile dysfunction
CID000003114,C0026961,Mydriasis
CID000003114,C0241237,dysstasia
CID000003114,C0238706,atrial hypertrophy
CID000003114,C0861149,Arrhythmia
CID000003114,C1262000,human herpes virus 6 serology positive
CID000003114,C0152179,vagus nerve disorder
CID000003114,C0854385,violence-related symptom
CID000003114,C0948353,markedly reduced dietary intake
CID000003114,C0948354,urinary occult blood positive
CID000003114,C0220994,hyperammonaemia
CID000003114,C0948649,liver transplant
CID000003114,C0152198,Accommodation disorder
CID000003114,C0853088,hypoglycaemia unawareness
CID000003114,C0024633,mallory-weiss syndrome
CID000003114,C0497365,rash generalised
CID000003114,C0728899,Poisoning
CID000003114,C0856103,hepatic function abnormal
CID000003114,C0854133,blood bilirubin increased
CID000003114,C0276688,pneumonia cryptococcal
CID000003114,C0020903,illusion
CID000003114,C0010520,Cyanosis
CID000003114,C0235874,condition aggravated
CID000003114,C0236037,poriomania
CID000003114,C0855333,electrocardiogram qt corrected interval prolonged
CID000003114,C0281981,skin mass
CID000003114,C0151539,blood urea increased
CID000003114,C0852911,blood alkaline phosphatase increased
CID000003114,C0853644,eosinophil count abnormal
CID000003114,C0151622,endometrial disorder
CID000003114,C0546817,fluid overload
CID000003114,C0231919,Nasal dryness
CID000003114,C0919706,cytomegalovirus antibody positive
CID000003114,C0151662,gamma-glutamyltransferase increased
CID000003114,C0855625,bilirubin conjugated increased
CID000003114,C0920251,thoracic vertebral fracture
CID000003114,C0007166,cardiac output decreased
CID000003114,C0242645,blue toe syndrome
CID000003114,C0012739,disseminated intravascular coagulation
CID000003114,C0155387,ill-defined disorder
CID000003114,C0853204,no adverse effect
CID000003114,C1536001,incorrect drug administration duration
CID000003114,C0151905,alanine aminotransferase increased
CID000003114,C0151907,skin discolouration
CID000003114,C2242996,Paraesthesia
CID000003114,C0018794,Atrioventricular block
CID000003114,C1142474,metastatic neoplasm
CID000003114,C0398795,secondary immunodeficiency
CID000003114,C0948605,no therapeutic response
CID000003114,C0022354,Jaundice cholestatic
CID000003114,C0023976,long qt syndrome
CID000003114,C0842860,biliary dilatation
CID000003114,C0037384,snoring
CID000003114,C0011570,Depression
CID000003114,C0854075,bence jones protein urine
CID000003114,C0424296,disinhibition
CID000003114,C0877658,electrocardiogram r on t phenomenon
CID000003114,C0333549,haemorrhagic infarction
CID000003114,C0151563,coagulation time prolonged
CID000003114,C0858621,blindness transient
CID000003114,C0151569,coombs direct test positive
CID000003114,C1096304,blood phosphorus
CID000003114,C0549410,palmar-plantar erythrodysaesthesia syndrome
CID000003114,C0863070,catheter site related reaction
CID000003114,C1167905,candida serology positive
CID000003114,C0232208,Nodal rhythm
CID000003114,C0580413,prothrombin time
CID000003114,C0429097,Electrocardiogram QRS complex
CID000003114,C0151814,coronary artery occlusion
CID000003114,C0234918,Rash morbilliform
CID000003114,C0262469,embolic stroke
CID000003114,C0086168,Dissociation
CID000003114,C0549249,depressed level of consciousness
CID000003114,C1328321,multiple drug overdose intentional
CID000003114,C0232197,cardiac fibrillation
CID000003114,C0700590,Hyperhidrosis
CID000003114,C0742906,c-reactive protein increased
CID000003114,C1168207,haemodialysis
CID000003114,C0948014,red cell distribution width increased
CID000003730,C1737214,injection site injury
CID000003730,C0015376,Extravasation
CID000003730,C0576091,knee deformity
CID000003730,C1536116,posture abnormal
CID000003730,C0679254,disease recurrence
CID000003730,C0263555,ischaemic ulcer
CID000003730,C0040156,Hyperthyroidism
CID000003730,C1112362,blood brain barrier defect
CID000003730,C0877055,acute generalised exanthematous pustulosis
CID000003730,C0151828,Injection site pain
CID000003730,C1112153,procedural complication
CID000003730,C0018994,haemobilia
CID000003730,C0231835,respiratory rate increased
CID000003730,C1096135,neutrophil count decreased
CID000003730,C0241136,pain of skin
CID000003730,C0085608,volume blood decreased
CID000003730,C0542184,Gastrointestinal disorder
CID000003730,C0263540,onychomadesis
CID000003730,C0234131,motor dysfunction
CID000003730,C0740313,nuclear magnetic resonance imaging abnormal
CID000003730,C0155003,Blindness transient
CID000003730,C0948027,pharmaceutical product complaint
CID000003730,C0151734,injection site inflammation
CID000003730,C0151735,Injection site reaction
CID000003730,C0856223,mental disorder
CID000003730,C0855429,fibrin d dimer
CID000003730,C0919768,extremity contracture
CID000003730,C1963946,dystonia
CID000003730,C1096730,staphylococcal infection
CID000003730,C0919573,peroneal nerve palsy
CID000003730,C1869043,hyperosmolar state
CID000003730,C0085617,arterial spasm
CID000003730,C0278134,sensory loss
CID000003730,C0235874,condition aggravated
CID000003730,C1141930,post procedural complication
CID000003730,C0595916,nephropathy toxic
CID000003730,C0948525,musculoskeletal stiffness
CID000003730,C2830004,Somnolence
CID000003730,C0877202,gingival pruritus
CID000003730,C0473120,abdominal haematoma
CID000003730,C0742906,c-reactive protein increased
CID000003730,C0021053,Immune system disorder
CID000003730,C0019214,hepatosplenomegaly
CID000003730,C0852870,po2
CID000003730,C0234215,Discomfort
CID000003730,C0151539,blood urea increased
CID000003730,C0005940,Bone disorder
CID000003730,C0264383,organising pneumonia
CID000003730,C0852913,blood amylase increased
CID000003730,C0853908,oropharyngeal swelling
CID000003730,C0277884,blood pressure systolic increased
CID000003730,C0852756,dupuytren's contracture
CID000003730,C0919702,Ventricular hypokinesia
CID000003730,C2939147,Feeling hot
CID000003730,C1096131,csf monocyte count increased
CID000003730,C0151747,renal tubular disorder
CID000003730,C0853748,blood electrolytes abnormal
CID000003730,C0236178,intra-abdominal haemorrhage
CID000003730,C1619692,nephrogenic fibrosing dermopathy
CID000003730,C0520600,cardio-respiratory arrest
CID000003730,C1142110,abdominal compartment syndrome
CID000003730,C0238201,Toxicity to various agents
CID000003730,C0237849,skin desquamation
CID000003730,C0012739,disseminated intravascular coagulation
CID000003730,C0015397,disorder of globe
CID000003730,C0948002,crystal urine
CID000003730,C0017178,Gastrointestinal disorder
CID000003730,C1096020,secretion discharge
CID000003730,C0849916,generalised erythema
CID000003730,C0042075,Urinary tract disorder
CID000003730,C0948715,infusion related reaction
CID000003730,C0152081,pustular psoriasis
CID000003730,C0857256,Malaise
CID000003730,C0004936,Mental disorder
CID000003730,C0268707,uraemic encephalopathy
CID000003730,C0853800,Contrast media reaction
CID000003730,C0854777,pancreatic carcinoma recurrent
CID000003730,C0023066,laryngospasm
CID000003730,C0858621,blindness transient
CID000003730,C0037274,dermatosis
CID000003730,C0393444,meningitis chemical
CID000003730,C0856812,haemolysis
CID000003730,C0040053,Thrombosis
CID000003730,C0027765,Nervous system disorder
CID000003730,C0877011,concomitant disease progression
CID000003730,C0948605,no therapeutic response
CID000003730,C0854375,mucosal haemorrhage
CID000003730,C0241075,skin induration
CID000003730,C0857494,unresponsive to stimuli
CID000003730,C0236068,swollen tongue
CID000003730,C0085594,Body temperature increased
CID000003730,C1639520,tubulointerstitial nephritis
CID000003730,C1168267,hyperventilation
CID000003730,C0011946,dialysis
CID000003730,C0011071,sudden death
CID000003730,C0920178,stent occlusion
CID000003730,C0340865,Anaphylactoid reaction
CID000003730,C0858911,blood pressure immeasurable
CID000003730,C0220870,Dizziness
CID000003730,C1608945,exfoliative rash
CID000003730,C1262024,base excess
CID000003730,C0741160,aortic aneurysm rupture
CID000003730,C1141938,ocular icterus
CID000003730,C0262476,lacrimation increased
CID000003730,C1704204,pedal pulse absent
CID000003730,C1112261,gaze palsy
CID000003730,C3241936,Non-cardiogenic pulmonary oedema
CID000003730,C0263008,skin fibrosis
CID000003730,C0853149,blood lactate dehydrogenase increased
CID000003730,C0013378,dysgeusia
CID000003730,C1168207,haemodialysis
CID000003730,C0023052,Laryngeal oedema
CID000003730,C0020522,type iv hypersensitivity reaction
CID000003730,C1964005,administration site pain
CID000003730,C0549249,depressed level of consciousness
CID000003730,C0858701,skin hypertrophy
CID000003730,C0151650,kidney fibrosis
CID000003736,C0423602,sensation of foreign body
CID000003736,C0239557,femoral pulse decreased
CID000003736,C0031924,piloerection
CID000003736,C0947912,Muscular weakness
CID000003736,C0600125,electrocardiogram pr prolongation
CID000003736,C0038325,Erythema multiforme
CID000003736,C0234144,dysgraphia
CID000003736,C0343494,risus sardonicus
CID000003736,C1112173,transient psychosis
CID000003736,C0234215,Discomfort
CID000003736,C0013687,Effusion
CID000003736,C0340865,Anaphylactoid reaction
CID000003736,C3257803,Lacrimation increased
CID000003736,C0236024,Pharyngeal oedema
CID000003736,C0340464,Extrasystoles
CID000003736,C0026827,hypotonia
CID000003736,C0233715,Speech disorder
CID000003736,C0854286,eyelid function disorder
CID000003736,C0028643,Hypoaesthesia
CID000003736,C0278134,sensory loss
CID000003736,C0277585,drug intolerance
CID000003736,C1142109,sopor
CID000003736,C1096228,laryngeal discomfort
CID000003736,C2830004,Somnolence
CID000003736,C0521481,oedema mucosal
CID000003736,C0236140,electrocardiogram change
CID000003736,C2242737,anorectal discomfort
CID000003736,C0522351,vertigo positional
CID000003736,C0554436,diabetic gangrene
CID000003736,C1527311,Brain oedema
CID000003736,C0948233,febrile infection
CID000003736,C0233494,Tension
CID000003736,C0236003,Oedema mucosal
CID000003736,C1096350,cardiac stress test abnormal
CID000003736,C0149504,toxic encephalopathy
CID000003736,C0241950,intestinal infarction
CID000003736,C0549448,haemoglobin increased
CID000003736,C0038941,postoperative wound infection
CID000003736,C0017178,Gastrointestinal disorder
CID000003736,C0030232,Pallor
CID000003736,C0849916,generalised erythema
CID000003736,C0042075,Urinary tract disorder
CID000003736,C0036973,Chills
CID000003736,C0851727,pharyngeal disorder
CID000003736,C0004936,Mental disorder
CID000003736,C0521506,injection site paraesthesia
CID000003736,C0240211,Lip swelling
CID000003736,C0687713,Gastrointestinal pain
CID000003736,C0023066,laryngospasm
CID000003736,C0522336,eye rolling
CID000003736,C0021368,Inflammation
CID000003736,C0155320,blindness cortical
CID000003736,C0948806,catheter related complication
CID000003736,C0581912,sensation of heaviness
CID000003736,C0233477,dysphoria
CID000003736,C1167981,hypoaesthesia
CID000003736,C1142332,glasgow coma scale
CID000003736,C0423153,Lacrimation increased
CID000003736,C0949070,respiratory tract congestion
CID000003736,C1737329,dysmorphism
CID000003736,C1262119,unevaluable event
CID000003736,C0700184,Throat irritation
CID000003736,C0040127,Thyrotoxic crisis
CID000003736,C0858259,nasal discomfort
CID000003736,C0038218,Status asthmaticus
CID000003736,C0151878,electrocardiogram qt prolonged
CID000003736,C0152255,pinguecula
CID000003736,C1696943,hypoaesthesia facial
CID000003736,C0332579,lividity
CID000003736,C0035273,resuscitation
CID000003736,C0235074,tongue paralysis
CID000003736,C1565489,Renal failure
CID000003736,C0919857,ecg signs of ventricular hypertrophy
CID000003736,C2363730,oropharyngeal discomfort
CID000003736,C0242698,left ventricular dysfunction
CID000003736,C1504363,body temperature fluctuation
CID000003736,C0375598,skull fracture
CID000003736,C0392197,Feeling hot
