Gene 1,Gene 2
28996,9134
28996,63970
28996,6613
28996,6612
28996,6885
28996,26524
28996,4605
28996,4602
28996,4603
28996,94241
28996,7080
28996,5347
28996,56963
28996,51510
28996,861
28996,7088
28996,7161
28996,5575
28996,6497
28996,10273
28996,4086
28996,4087
28996,4088
28996,79816
28996,5119
28996,59343
28996,3065
28996,8569
28996,57659
28996,1488
28996,1616
28996,5727
28996,5457
28996,2033
28996,10769
28996,65125
28996,26118
28996,5928
28996,142
28996,8312
28996,51701
28996,5300
28996,8850
28996,4999
28991,54951
28991,51397
28991,170622
28991,150684
28991,54939
28991,28952
28991,404636
28991,51699
28991,23412
28991,5971
28991,5970
28991,4790
28991,51122
28991,54520
148156,5265
148156,85302
148156,335
148156,348
148156,1102
148156,56915
148156,10482
148156,4343
148156,2512
28992,55506
28992,11198
28992,9531
28992,3040
28992,2099
28992,9188
28992,23085
28992,2547
28992,3551
28992,6749
28992,4904
28992,3046
28992,8517
28992,7803
28992,142
28992,5778
28992,10038
28992,11336
28992,5777
28992,1069
28992,440686
28992,5518
28992,7508
28992,5610
28992,6117
28992,3014
28992,7520
28992,3192
28992,1479
28992,3980
28992,1660
28999,8503
28999,23129
28999,6839
28999,3630
28999,6943
28999,5529
28999,445582
28999,653781
28999,5565
28999,653269
28999,6517
28999,2033
28999,1398
28999,23294
28999,50512
28999,2626
28999,2624
28999,348807
28999,340706
28999,728378
28999,120
28999,9841
28999,5361
28999,54101
28999,5468
28999,1490
28999,4176
28999,8850
28999,1188
28999,26060
28999,6774
28999,1187
28999,23161
28999,23023
28998,60488
28998,27258
28998,79631
28998,7818
28998,6125
28998,6124
28998,10213
28998,81892
28998,6142
28998,6729
28998,6129
28998,6128
28998,10102
28998,64976
28998,64975
28998,85302
28998,790
28998,1540
28998,6223
28998,55052
28998,55299
28998,79023
28998,64979
28998,64978
28998,10667
28998,51069
28998,57226
28998,51065
28998,10190
28998,23291
28998,6227
28998,65080
28998,6193
28998,6224
28998,6181
28998,57129
28998,54948
28998,65993
28998,51373
28998,10884
28998,64951
28998,6152
28998,6154
28998,3336
28998,6156
28998,6157
28998,54998
28998,6159
28998,143244
28998,64960
28998,114294
28998,64963
28998,4736
28998,64965
28998,92259
28998,6168
28998,64968
28998,64969
28998,118487
28998,7311
28998,51154
28998,51250
28998,54516
28998,84545
28998,6188
28998,51073
28998,6123
28998,6165
28998,116540
28998,5018
28998,6122
28998,5155
28998,28973
28998,10399
28998,6143
28998,317749
28998,6141
28998,124995
28998,6146
28998,6144
28998,51121
28998,51081
28998,8520
28998,90480
28998,5250
28998,11224
28998,6164
28998,27235
28998,4343
28998,4722
28998,65008
28998,23173
28998,51117
28998,51116
28998,6167
28998,4967
28998,55037
28998,65003
28998,65005
28998,5683
28998,124454
28998,5432
28998,28957
28998,29093
28998,4706
28998,9086
28998,51642
28998,1984
28998,9521
28998,64216
28998,54148
28998,4358
28998,23256
28998,6175
28998,8669
28998,6176
28998,1938
28998,248
28998,6170
28998,1933
28998,25973
28998,22984
28998,10988
28998,3396
28998,51187
28998,10987
28998,64983
28998,5859
28998,10492
28998,84311
28998,56342
28998,8813
28998,116832
28998,254042
28998,29927
28998,9553
28998,79590
28998,54534
28998,3692
28998,6155
28998,2597
28998,64432
28998,3615
28998,23658
28998,5036
28998,51263
28998,9533
28998,6169
28998,10557
28998,5984
28998,2197
28998,6161
28998,6160
28998,250
28998,251
28998,6921
28998,11222
28998,219927
28998,6166
28998,51021
28998,1738
28998,51023
28998,5431
28998,5440
28998,116541
28998,5888
28998,6205
28998,7155
28998,6173
28998,6204
28998,140801
28998,6206
28998,6207
28998,219402
28998,140032
28998,6202
28998,23144
28998,55157
28998,5685
28998,6208
28998,6209
28998,100505503
28998,6201
28998,9349
28998,26589
28998,84340
28998,60558
28998,1356
28998,55272
28998,29088
28998,6194
28998,114987
28998,6158
28998,5684
28998,10240
28998,100526842
28998,51258
28998,285855
28998,4528
28998,8446
28998,6217
28998,8661
28998,63875
28998,55651
28998,64928
28998,6191
28998,6192
28998,6210
28998,6147
28998,7407
28998,152926
28998,51649
28998,51727
28998,8833
28998,6218
28998,740
28998,9617
28998,9343
28998,122704
28998,7284
28998,55168
28998,23107
28998,6137
28998,8565
28998,200916
28998,9801
28998,6897
28998,81789
28998,9051
28998,5889
28998,64981
28998,10576
28998,9820
28998,10573
28998,85476
28998,10412
28998,7189
28998,1964
28998,63931
28998,51004
28998,1613
28998,51001
28998,6187
28998,29074
28998,64949
28998,6183
28998,6182
28998,51650
28998,55703
28998,55173
28998,10901
28998,6228
28998,6229
28998,55176
28998,6189
28998,84172
28998,6150
28998,56648
28998,6231
28998,54460
28998,124152
28998,6235
28998,6734
28998,8555
28998,25873
28998,6637
28998,101
28998,56943
28998,51253
28998,4716
28998,6139
28998,2335
28998,56945
28998,3178
28998,6132
28998,6133
28998,6130
28998,78988
28998,6136
28998,4719
28998,6134
28998,6135
28998,388569
28998,51319
28998,51318
28998,3192
28998,51264
28998,4809
28998,28977
28998,6234
28998,128308
28998,6230
28998,6232
55349,216
55349,3611
55349,84647
55349,217
55349,254531
55349,57017
55349,50487
55349,10162
55349,218
55349,219
55349,123745
55349,81490
55349,8681
55349,5322
55349,5337
55349,10380
55349,126917
55349,30814
55349,64577
55349,153642
55349,55959
55349,391013
55349,7915
55349,8399
55349,154141
55349,5319
55349,81579
55349,129642
55349,160428
55349,347527
55349,64600
55349,340075
55349,85465
55349,84557
55349,283748
55349,4697
55349,126133
55349,501
55349,79642
55349,23213
55349,635
55349,55621
55349,23761
55349,2588
55349,10390
55349,374291
55349,23646
55349,5320
55349,5321
55349,22901
55349,54059
55349,8605
55349,223
55349,222
55349,6448
55349,220
55349,10840
55349,124925
55349,11145
55349,3423
55349,122618
55349,54968
55349,6132
55349,8878
55349,224
55349,5338
55349,414
55349,415
55349,416
55349,2799
55349,410
55349,411
55349,412
55349,388677
55349,1666
55349,255189
55349,8398
55349,151056
55349,8854
55293,216
55293,23753
55293,64577
55293,217
55293,218
55293,57132
55293,3417
55293,498
55293,5096
55293,3329
55293,130589
55293,3418
55293,5106
55293,8659
55293,9563
55293,10015
55293,220
55293,89853
55293,10840
55293,1491
55293,51560
55293,219
55293,55905
55293,51160
55293,6390
55293,6391
55293,3030
55293,79738
55293,84706
55293,55753
55293,4329
55293,7316
55293,55526
55293,128866
55293,114112
55293,4200
55293,9146
55293,171425
55293,79720
55293,790
55293,5313
55293,5315
55293,8801
55293,8802
55293,8803
55293,4967
55293,10873
55293,79896
55293,4199
55293,2936
55293,9525
55293,2023
55293,85415
55293,27243
55293,92421
55293,4357
55293,8836
55293,2271
55293,1431
55293,7372
55293,31
55293,347517
55293,84680
55293,5870
55293,114822
55293,5232
55293,137362
55293,137492
55293,2618
55293,83871
55293,2806
55293,7915
55293,2805
55293,1738
55293,93594
55293,8195
55293,5230
55293,51028
55293,7155
55293,10993
55293,6047
55293,25902
55293,506
55293,93343
55293,189
55293,126133
55293,501
55293,79643
55293,7296
55293,509
55293,53349
55293,6950
55293,224
55293,223
55293,222
55293,221
55293,5105
55293,390110
55293,54963
55293,4522
55293,2026
55293,2027
55293,32
55293,90678
55293,8833
55293,883
55293,2731
55293,5119
55293,84084
55293,126917
55293,8565
55293,10575
55293,10574
55293,6898
55293,10576
55293,27183
55293,160428
55293,7203
55293,47
55293,1962
55293,84936
55293,4594
55293,200576
55293,2875
55293,9609
55293,79726
55293,6389
55293,9380
55293,22948
55293,5198
55293,5832
55293,55048
55293,7189
55293,93550
55293,56267
55293,196403
55293,64087
55293,84313
55293,25930
55293,8854
55290,3920
55290,54726
55290,2960
55290,2963
55290,2962
55290,661
55290,60682
55290,5825
55290,51170
55290,11261
55290,4141
55290,9688
55290,400
55290,9276
55290,55622
55290,55627
55290,4684
55290,6917
55290,6919
55290,10945
55290,387332
55290,84232
55290,127428
55290,6596
55290,51537
55290,10431
55290,10430
55290,6908
55290,26155
55290,2958
55290,283970
55290,2071
55290,171568
55290,64210
55290,11128
55290,11218
55290,3315
55290,5709
55290,7702
55290,10985
55290,7372
55290,8813
55290,79596
55290,114821
55290,55718
55290,6836
55290,170082
55290,9533
55290,10302
55290,23122
55290,4430
55290,55795
55290,23244
55290,6920
55290,5432
55290,5433
55290,5430
55290,5436
55290,5437
55290,5434
55290,5435
55290,5438
55290,58477
55290,10621
55290,10622
55290,404672
55290,84265
55290,9131
55290,9330
55290,54919
55290,6520
55290,3728
55290,29080
55290,6619
55290,6618
55290,4176
55290,25885
55290,51728
55290,55898
55290,23534
55290,550
55290,6745
55290,6747
55290,9183
55290,64328
55290,6621
55290,100287932
55290,5451
55290,51003
55290,50628
55290,51082
55290,23039
55290,55703
55290,51495
55290,138474
55290,5162
55290,23214
55290,55210
55290,9441
55290,55215
55290,489
55290,23451
55290,22820
55290,55161
55290,9519
55290,5441
55290,5440
55290,27297
55290,5934
55290,47
55290,6617
55290,79711
55291,6591
55291,22976
55291,79885
55291,11091
55291,9070
55291,55735
55291,11160
55291,261726
55291,84669
55291,223082
55291,7874
55291,1894
55291,55695
55291,22870
55291,55233
55291,3320
55291,9775
55291,84984
55291,1891
55291,23243
55291,2869
55291,10856
55291,3065
55291,5198
55291,80209
55291,2885
55291,27005
55291,161
55291,26277
55291,7514
55291,6045
55291,55740
55291,54386
55291,91526
55291,92597
55291,29761
55291,5929
55291,7532
55291,85451
55291,55728
55291,283373
55291,23054
55291,9113
55291,3326
55291,11140
55291,672
55291,7023
55291,25862
55291,5537
55291,23528
55291,7128
55291,57602
55291,4794
55291,9701
55291,160
55291,51593
55291,162
55291,5591
55291,8085
55291,7168
55291,1994
55291,6790
55291,80817
55291,51547
55291,4914
55291,84129
55291,27037
55291,58508
55291,170589
55291,1454
55291,2108
55291,7403
55291,27042
55291,26086
55291,155061
55291,6199
55291,4851
55291,3066
55296,8602
55296,57533
55296,22976
55296,3493
55296,9662
55296,54839
55296,25809
55296,4111
55296,23232
55296,84276
55296,5501
55297,54997
55297,2130
55297,8165
55297,23481
55297,26088
55297,56910
55297,11276
55297,80007
55297,23062
55297,1894
55297,27329
55297,92922
55297,4598
55294,51191
55294,10293
55294,6720
55294,9775
55294,134218
55294,10517
55294,200933
55294,4149
55294,3551
55294,160
55294,147837
55294,9282
55294,92304
55294,57520
55294,142685
55294,2913
55294,11184
55294,142689
55294,5469
55294,6159
55294,55905
55294,84861
55294,10193
55294,6790
55294,5300
55294,4738
55294,2313
55294,10969
55294,84541
55294,253738
55294,84231
55294,55585
55294,140801
55294,1540
55294,8239
55294,144699
55294,64682
55294,26091
55294,1408
55294,1018
55294,1019
55294,1017
55294,79042
55294,8517
55294,64421
55294,9150
55294,340390
55294,2762
55294,57477
55294,4193
55294,153090
55294,57154
55294,22903
55294,7706
55294,7704
55294,6502
55294,908
55294,6500
55294,1536
55294,9412
55294,3091
55294,9414
55294,8453
55294,10891
55294,115290
55294,5129
55294,23327
55294,9730
55294,91801
55294,10413
55294,84894
55294,4170
55294,161742
55294,80196
55294,122769
55294,9320
55294,3297
55294,131405
55294,8943
55294,8945
55294,51438
55294,51434
55294,51433
55294,55159
55294,445815
55294,84056
55294,26272
55294,10425
55294,92591
55294,143279
55294,84676
55294,92912
55294,223082
55294,84678
55294,112950
55294,200845
55294,9021
55294,9020
55294,4779
55294,10097
55294,5954
55294,29116
55294,22888
55294,9945
55294,27133
55294,55658
55294,90993
55294,5799
55294,51725
55294,29882
55294,29886
55294,91694
55294,142686
55294,4613
55294,151636
55294,27316
55294,26190
55294,89910
55294,29766
55294,1278
55294,4254
55294,9440
55294,150726
55294,79913
55294,26267
55294,688
55294,26263
55294,127544
55294,79711
55294,26268
55294,7186
55294,23204
55294,1303
55294,55182
55294,84078
55294,51550
55294,51471
55294,1499
55294,4224
55294,10693
55294,5071
55294,10694
55294,6478
55294,127247
55294,6477
55294,56951
55294,54850
55294,135892
55294,25827
55294,8452
55294,80028
55294,23295
55294,25942
55294,23291
55294,26135
55294,246184
55294,10521
55294,10286
55294,90135
55294,55336
55294,11275
55294,10116
55294,353132
55294,23376
55294,144347
55294,6711
55294,7319
55294,7318
55294,7314
55294,7317
55294,164832
55294,22843
55294,54512
55294,3845
55294,84708
55294,80325
55294,54926
55294,124245
55294,65264
55294,64764
55294,55527
55294,701
55294,390
55294,84659
55294,6662
55294,6921
55294,2305
55294,51619
55294,55234
55294,6923
55294,257218
55294,5966
55294,2289
55294,55588
55294,8202
55294,64110
55294,9442
55294,11083
55294,3030
55294,79754
55294,114907
55294,81610
55294,3013
55294,64601
55294,51105
55294,26224
55294,154214
55294,121551
55294,5036
55294,50852
55294,6737
55294,9246
55294,5663
55294,90025
55294,4343
55294,9870
55294,53916
55294,2057
55294,90390
55294,182
55294,6047
55294,122011
55294,23014
55294,114088
55294,10153
55294,23332
55294,2624
55294,2625
55294,390594
55294,10393
55294,5896
55294,136371
55294,868
55294,6049
55294,860
55294,285231
55294,7337
55294,2023
55294,90678
55294,10273
55294,6815
55294,83595
55294,10477
55294,6629
55294,10574
55294,10575
55294,10576
55294,6625
55294,6622
55294,7324
55294,84246
55294,7326
55294,7327
55294,7320
55294,7321
55294,7322
55294,7323
55294,84930
55294,10407
55294,7328
55294,84937
55294,8925
55294,55700
55294,253260
55294,51320
55294,26260
55294,89970
55294,64798
55294,317649
55294,28513
55294,166785
55294,2976
55294,4715
55294,2332
55294,246126
55294,79017
55294,1045
55294,5440
55294,51663
55294,56260
55294,51666
55294,51665
55294,10946
55294,1147
55294,6233
55294,8626
55294,9477
55294,11059
55294,5500
55294,140462
55294,140461
55294,140460
55294,694
55294,85464
55294,4904
55294,83732
55294,26270
55294,8651
55294,57634
55294,8655
55294,57630
55294,2243
55294,997
55294,996
55294,991
55294,990
55294,8538
55294,9820
55294,8533
55294,56929
55294,285668
55294,5595
55294,6568
55294,79876
55294,10616
55294,89890
55294,85004
55294,23462
55294,10533
55294,400322
55294,10212
55294,51692
55294,23304
55294,148789
55294,9919
55294,8881
55294,134111
55294,5685
55294,5683
55294,55031
55294,26259
55294,2932
55294,23415
55294,23416
55294,4018
55294,27252
55294,84961
55294,6774
55294,10980
55294,9399
55294,54620
55294,5978
55294,8813
55294,5970
55294,253714
55294,9969
55294,51742
55294,285636
55294,29945
55294,3757
55294,3756
55294,222235
55294,55819
55294,55958
55294,10324
55294,2206
55294,100287569
55294,7157
55294,7153
55294,140739
55294,51132
55294,1039
55294,734
55294,157378
55294,26232
55294,26235
55294,9133
55294,89849
55294,9134
55294,8065
55294,197131
55294,51529
55294,6950
55294,3725
55294,9862
55294,8260
55294,9867
55294,123263
55294,11146
55294,143384
55294,2899
55294,80176
55294,11065
55294,3685
55294,4836
55294,140458
55294,140459
55294,9439
55294,140456
55294,11009
55294,9616
55294,10001
55294,9611
55294,6742
55294,84085
55294,22827
55294,23186
55294,64320
55294,10365
55294,8405
55294,55070
55294,4008
55294,92369
55294,7203
55294,6749
55294,9817
55294,51003
55294,9811
55294,22954
55294,10489
55294,4591
55294,162517
55294,10769
55294,10482
55294,55175
55294,891
55294,892
55294,84790
55294,7325
55294,898
55294,899
55294,81559
55294,51444
55294,8317
55294,137994
55294,25870
55294,9040
55294,4791
55294,6636
55294,221687
55294,7336
55294,7334
55294,142678
55294,7332
55294,9968
55294,84920
55294,84926
55294,80306
55294,8916
55294,54908
55294,55506
55294,55504
55294,84893
55294,55859
55294,3320
55294,400569
55294,80824
55294,347730
55294,55599
55294,64718
55294,51676
55294,1155
55294,4337
55294,23077
55294,673
55294,90933
55294,3646
55294,9903
55294,25898
55294,25893
55294,25897
55294,4644
55294,5728
55294,57602
55294,26249
55294,51088
55294,2475
55294,8030
55294,7311
55294,401036
55294,987
55294,8528
55294,8139
55294,9992
55294,9496
55294,146330
55294,10025
55294,90293
55294,55133
55294,55131
55294,3008
55294,26017
55294,391491
55294,2177
55294,112398
55294,126433
55294,55090
55294,8454
55294,5128
55294,93611
55294,8451
55294,10422
55294,138046
55294,9647
55294,9643
55294,64219
55294,84727
55294,89122
55294,54828
55294,23389
55294,51586
55294,53339
55294,7428
55294,6830
55294,6837
55294,647000
55294,9212
55294,9039
55294,118424
55294,10559
55294,27246
55294,983
55294,84261
55294,9978
55294,140691
55294,29894
55294,283111
55294,758
55294,8774
55294,55521
55294,6880
55294,4609
55294,55863
55294,4602
55294,25793
55294,1024
55294,5347
55294,1021
55294,1020
55294,57646
55294,8697
55294,27338
55294,51129
55294,255488
55294,79791
55294,339745
55294,114327
55294,7936
55294,79654
55294,64410
55294,57542
55294,10376
55294,148581
55294,25841
55294,219541
55294,158506
55294,80164
55294,25847
55294,47
55294,2580
55294,2138
55294,1441
55294,80790
55294,26118
55294,29079
55294,85364
55294,9603
55294,57337
55294,201456
55294,144245
55294,9354
55294,5730
55294,23194
55294,222194
55294,22948
55294,6468
55294,3784
55294,5635
55294,5630
55294,472
55294,473
55294,25831
55294,4851
55294,6663
55294,4855
55294,4854
55294,9690
55295,57565
55295,10534
55295,5110
55295,10653
55295,3320
55295,81567
55295,129285
55295,30835
55295,56893
55295,79848
55295,81488
55295,54813
55295,6366
55295,83998
55295,54165
55295,8452
55295,51562
55295,27252
55295,84861
55295,22985
55295,10987
55295,57037
5982,64785
5982,2962
5982,9208
5982,22938
5982,6573
5982,5378
5982,5983
5982,5981
5982,5984
5982,5985
5982,23476
5982,672
5982,10528
5982,5518
5982,5429
5982,10111
5982,5591
5982,2314
5982,7316
5982,63922
5982,54921
5982,1663
5982,988
5982,5426
5982,5395
5982,983
5982,9656
5982,23612
5982,22998
5982,1653
5982,1017
5982,580
5982,8452
5982,79959
5982,5573
5982,4292
5982,641
5982,10868
5982,9557
5982,56852
5982,5308
5982,4436
5982,4907
5982,56916
5982,5111
5982,7158
5982,3364
5982,5706
5982,22976
5982,5702
5982,7150
5982,84193
5982,23649
5982,3875
5982,4772
5982,4773
5982,4609
5982,2956
5982,79075
5982,6118
5982,6119
5982,5424
5982,6117
5982,5422
5982,83987
5982,5810
5982,55832
5982,5813
5982,10987
5982,4361
5982,4683
5982,5883
5982,5884
5982,1894
5982,1616
5982,3978
5982,22897
5982,51493
5982,890
5982,891
5982,142
5982,6138
5982,3428
5982,51013
5982,472
5982,3192
5983,2965
5983,2967
5983,2966
5983,56257
5983,50484
5983,6233
5983,4609
5983,64782
5983,7112
5983,83932
5983,22938
5983,10459
5983,2956
5983,6573
5983,9833
5983,7486
5983,5981
5983,9837
5983,5984
5983,5985
5983,7517
5983,7516
5983,7515
5983,9100
5983,26270
5983,50485
5983,6240
5983,6241
5983,10111
5983,8318
5983,7272
5983,55738
5983,23476
5983,57455
5983,990
5983,3832
5983,4175
5983,675
5983,2175
5983,10721
5983,7398
5983,672
5983,4331
5983,1956
5983,55666
5983,6118
5983,2071
5983,6119
5983,80233
5983,7443
5983,7318
5983,6790
5983,7314
5983,7316
5983,7311
5983,10592
5983,5425
5983,7520
5983,63922
5983,54921
5983,51659
5983,91603
5983,2067
5983,988
5983,5426
5983,10535
5983,100288562
5983,983
5983,10733
5983,54962
5983,11201
5983,5441
5983,254958
5983,5423
5983,23612
5983,5422
5983,9716
5983,2068
5983,79726
5983,2547
5983,116028
5983,79728
5983,2176
5983,2177
5983,9787
5983,2073
5983,2072
5983,2178
5983,1017
5983,2074
5983,5001
5983,9156
5983,580
5983,3669
5983,902
5983,55723
5983,22909
5983,3150
5983,10038
5983,8451
5983,7534
5983,55055
5983,81691
5983,7706
5983,84126
5983,1643
5983,11004
5983,55120
5983,1841
5983,157570
5983,6917
5983,54107
5983,4292
5983,641
5983,7157
5983,29028
5983,23063
5983,10635
5983,5817
5983,5980
5983,56852
5983,9319
5983,9126
5983,64151
5983,80010
5983,63967
5983,5438
5983,9246
5983,4436
5983,10799
5983,56916
5983,23244
5983,5111
5983,9636
5983,3161
5983,5432
5983,5433
5983,5430
5983,5431
5983,5436
5983,5437
5983,5434
5983,5435
5983,3364
5983,22974
5983,7155
5983,5439
5983,699
5983,7415
5983,404672
5983,7156
5983,9978
5983,9133
5983,23649
5983,11065
5983,10403
5983,4172
5983,545
5983,124739
5983,29089
5983,7353
5983,5893
5983,2187
5983,4773
5983,4771
5983,11339
5983,2189
5983,2188
5983,5884
5983,3280
5983,4174
5983,79075
5983,4176
5983,4173
5983,5429
5983,4171
5983,25998
5983,1022
5983,27033
5983,5424
5983,5427
5983,6117
5983,157777
5983,9184
5983,84942
5983,57109
5983,10714
5983,83987
5983,27339
5983,5810
5983,129607
5983,7874
5983,5813
5983,5814
5983,56949
5983,51514
5983,4361
5983,4085
5983,56655
5983,4683
5983,10166
5983,11130
5983,9883
5983,348654
5983,64983
5983,5883
5983,55872
5983,8565
5983,83695
5983,2237
5983,5885
5983,23184
5983,1161
5983,5889
5983,3068
5983,4691
5983,57804
5983,5888
5983,7320
5983,1616
5983,11073
5983,57654
5983,10868
5983,51455
5983,1111
5983,2033
5983,83990
5983,3978
5983,328
5983,5928
5983,22897
5983,5932
5983,890
5983,891
5983,142
5983,5931
5983,55215
5983,79915
5983,8317
5983,10051
5983,9212
5983,8243
5983,9768
5983,10528
5983,22948
5983,84250
5983,6138
5983,3428
5983,11169
5983,9924
5983,4914
5983,5440
5983,5557
5983,9801
5983,472
5983,7507
5983,144715
5983,3192
5983,8914
5983,1763
5983,81875
5983,3980
5983,4998
5983,1642
5980,11169
5980,56852
5980,10459
5980,1
5980,5378
5980,7486
5980,5981
5980,5984
5980,5985
5980,7517
5980,545
5980,6240
5980,27301
5980,10111
5980,9937
5980,4174
5980,990
5980,2850
5980,57697
5980,10721
5980,7083
5980,5994
5980,10880
5980,10881
5980,5429
5980,9985
5980,328
5980,6119
5980,1018
5980,59
5980,58
5980,7314
5980,7311
5980,2068
5980,642636
5980,1385
5980,2067
5980,9262
5980,5426
5980,595
5980,10535
5980,6597
5980,57469
5980,80198
5980,387521
5980,11201
5980,11200
5980,84517
5980,10121
5980,10120
5980,86
5980,250
5980,445582
5980,4205
5980,653781
5980,2547
5980,790
5980,1719
5980,653269
5980,63922
5980,10606
5980,4968
5980,2073
5980,2072
5980,200895
5980,1017
5980,1235
5980,9156
5980,64421
5980,51380
5980,9085
5980,140625
5980,117247
5980,91442
5980,4436
5980,248
5980,7272
5980,32
5980,31
5980,7158
5980,64858
5980,353497
5980,641
5980,11144
5980,8317
5980,2678
5980,2597
5980,84896
5980,71
5980,345651
5980,2618
5980,60
5980,7319
5980,4437
5980,23405
5980,81569
5980,5111
5980,7014
5980,251
5980,4085
5980,8940
5980,4171
5980,7157
5980,7156
5980,7155
5980,26330
5980,54108
5980,9407
5980,139741
5980,619373
5980,847
5980,7295
5980,7298
5980,5557
5980,5893
5980,348654
5980,4609
5980,55860
5980,2956
5980,257218
5980,6595
5980,4175
5980,4176
5980,6118
5980,5428
5980,4172
5980,4173
5980,5425
5980,5424
5980,5427
5980,6117
5980,157777
5980,54962
5980,5422
5980,10714
5980,7372
5980,5810
5980,170487
5980,8837
5980,8833
5980,7374
5980,4361
5980,5885
5980,56655
5980,23649
5980,254394
5980,3630
5980,8565
5980,3066
5980,51412
5980,22818
5980,5888
5980,148581
5980,9759
5980,57804
5980,85441
5980,7320
5980,8728
5980,51455
5980,1111
5980,3978
5980,200576
5980,138474
5980,5289
5980,54205
5980,773
5980,54464
5980,55601
5980,2645
5980,728378
5980,54107
5980,11170
5980,72
5980,8554
5980,70
5980,8318
5980,284382
5980,9045
5980,7336
5980,7334
5980,4157
5980,7508
5980,27297
5980,2237
5980,472
5980,7507
5980,8914
5980,3980
5980,3981
5980,6233
5980,51314
55299,65095
55299,54606
55299,55341
55299,23363
55299,84916
55299,6727
55299,10514
55299,5822
55299,7307
55299,26574
55299,26576
55299,83448
55299,5984
55299,51068
55299,84306
55299,6152
55299,6154
55299,6155
55299,6156
55299,6157
55299,6158
55299,1499
55299,10196
55299,79039
55299,4736
55299,6657
55299,10969
55299,10199
55299,55226
55299,84549
55299,51602
55299,51605
55299,1662
55299,1660
55299,8602
55299,11137
55299,55832
55299,26156
55299,26155
55299,79727
55299,8732
55299,81627
55299,64425
55299,9521
55299,56902
55299,5771
55299,100
55299,104
55299,64216
55299,6272
55299,79954
55299,84128
55299,55127
55299,25879
55299,57050
55299,8454
55299,25873
55299,23144
55299,9733
55299,54888
55299,10412
55299,54557
55299,54555
55299,54552
55299,23481
55299,11340
55299,8342
55299,23246
55299,5134
55299,11222
55299,6205
55299,6206
55299,6207
55299,6201
55299,6202
55299,6203
55299,6208
55299,6209
55299,55153
55299,60314
55299,55272
55299,55781
55299,51236
55299,84946
55299,55651
55299,83475
55299,84273
55299,8833
55299,56474
55299,29889
55299,29960
55299,6897
55299,3068
55299,56341
55299,79009
55299,83759
55299,9188
55299,51154
55299,5777
55299,4914
55299,23029
55299,8761
55299,81875
55299,51202
55299,27042
55299,6159
55299,51575
55299,51574
55299,4869
55299,84154
55299,10521
55299,4733
55299,55621
55299,10528
55299,28987
55299,23378
55299,9904
55299,55170
55299,6168
55299,3845
55299,54517
55299,55759
55299,134430
